"Subject","Metabolite","Sequence","Location","Field","CV_tCr","CV_tissue"
"sub-02","PCr","slaser","ul",7,6.51911089461383,2.30789153250057
"sub-03","PCr","slaser","ul",7,0.676132463788803,3.45079692844209
"sub-04","PCr","slaser","ul",7,0.888857003156069,0.395428315536442
"sub-05","PCr","slaser","ul",7,3.18066271118019,5.94794817583733
"sub-01","PCr","slaser","ll",7,6.34475625896207,1.94058159622517
"sub-02","PCr","slaser","ll",7,1.28035660318938,2.44217757244046
"sub-03","PCr","slaser","ll",7,5.01303014603503,7.91645192243302
"sub-04","PCr","slaser","ll",7,1.59742896605332,5.00112647329897
"sub-05","PCr","slaser","ll",7,3.87132132633763,2.29505152374822
"sub-01","GABA","steam","ul",3,17.4145318993624,16.9984857636561
"sub-02","GABA","steam","ul",3,16.4061124907587,19.1999396447205
"sub-03","GABA","steam","ul",3,NA,NA
"sub-04","GABA","steam","ul",3,NA,NA
"sub-05","GABA","steam","ul",3,NA,NA
"sub-01","GABA","steam","ll",3,NA,NA
"sub-02","GABA","steam","ll",3,NA,NA
"sub-03","GABA","steam","ll",3,48.0346246642277,41.317951011236
"sub-04","GABA","steam","ll",3,46.78943026016,45.4895822288089
"sub-05","GABA","steam","ll",3,NA,NA
"sub-01","GABA","steam","ul",7,19.9818560395648,23.0676974431523
"sub-02","GABA","steam","ul",7,NA,NA
"sub-03","GABA","steam","ul",7,NA,NA
"sub-04","GABA","steam","ul",7,NA,NA
"sub-05","GABA","steam","ul",7,NA,NA
"sub-01","GABA","steam","ll",7,3.25090192870514,3.57258206134305
"sub-02","GABA","steam","ll",7,8.83607687076037,5.94995012819766
"sub-03","GABA","steam","ll",7,NA,NA
"sub-04","GABA","steam","ll",7,111.121723937652,109.867031606081
"sub-05","GABA","steam","ll",7,2.52863040846792,1.15089592921425
"sub-01","GABA","slaser","ul",3,NA,NA
"sub-02","GABA","slaser","ul",3,NA,NA
"sub-03","GABA","slaser","ul",3,NA,NA
"sub-04","GABA","slaser","ul",3,NA,NA
"sub-05","GABA","slaser","ul",3,NA,NA
"sub-01","GABA","slaser","ll",3,NA,NA
"sub-02","GABA","slaser","ll",3,NA,NA
"sub-03","GABA","slaser","ll",3,NA,NA
"sub-04","GABA","slaser","ll",3,NA,NA
"sub-05","GABA","slaser","ll",3,NA,NA
"sub-01","GABA","slaser","ul",7,NA,NA
"sub-02","GABA","slaser","ul",7,0.689177475229027,5.06776701320073
"sub-03","GABA","slaser","ul",7,7.22092394801428,9.94860131473405
"sub-04","GABA","slaser","ul",7,7.3639434301381,6.89217152429184
"sub-05","GABA","slaser","ul",7,8.07610517915435,10.821318235811
"sub-01","GABA","slaser","ll",7,6.21865981001647,1.74940674276687
"sub-02","GABA","slaser","ll",7,NA,NA
"sub-03","GABA","slaser","ll",7,42.1122888499301,39.3186612566661
"sub-04","GABA","slaser","ll",7,NA,NA
"sub-05","GABA","slaser","ll",7,25.4698674406637,24.0753424215553
"sub-01","Glc","steam","ul",3,25.1356207741529,25.5443603342732
"sub-02","Glc","steam","ul",3,27.2714172185045,24.5278196082049
"sub-03","Glc","steam","ul",3,4.20643113979764,3.80323304022972
"sub-04","Glc","steam","ul",3,24.5778157680962,26.1304584304837
"sub-05","Glc","steam","ul",3,23.6066944019562,25.9887887003841
"sub-01","Glc","steam","ll",3,2.34419196997186,10.4596215032494
"sub-02","Glc","steam","ll",3,NA,NA
"sub-03","Glc","steam","ll",3,NA,NA
"sub-04","Glc","steam","ll",3,NA,NA
"sub-05","Glc","steam","ll",3,35.5750682766224,35.4599920041116
"sub-01","Glc","steam","ul",7,NA,NA
"sub-02","Glc","steam","ul",7,NA,NA
"sub-03","Glc","steam","ul",7,NA,NA
"sub-04","Glc","steam","ul",7,NA,NA
"sub-05","Glc","steam","ul",7,NA,NA
"sub-01","Glc","steam","ll",7,NA,NA
"sub-02","Glc","steam","ll",7,NA,NA
"sub-03","Glc","steam","ll",7,NA,NA
"sub-04","Glc","steam","ll",7,NA,NA
"sub-05","Glc","steam","ll",7,NA,NA
"sub-01","Glc","slaser","ul",3,NA,NA
"sub-02","Glc","slaser","ul",3,11.5501438921592,5.86941234635738
"sub-03","Glc","slaser","ul",3,14.9617221610515,9.77851195496312
"sub-04","Glc","slaser","ul",3,NA,NA
"sub-05","Glc","slaser","ul",3,NA,NA
"sub-01","Glc","slaser","ll",3,11.4167176725935,4.04808130223664
"sub-02","Glc","slaser","ll",3,15.5488462616148,6.78696599972198
"sub-03","Glc","slaser","ll",3,0.837712779741405,3.27967242509165
"sub-04","Glc","slaser","ll",3,49.5111186161628,73.8853162777209
